id,name,status,answer_accuracy_proxy,hit_at_5,mrr_at_5,citation_accuracy,refusal_accuracy,faithfulness_proxy,latency_p50_ms,latency_p95_ms,index_build_ms,model_load_ms,embedding_dimension,embedding_load_mode,embedding_used_fallback,embedding_trust_remote_code,chunks,chunk_strategy,retriever,embedding_model,vector_backend,query_rewrite,metadata_filter,refusal_gate
V0,llm_direct_no_retrieval,completed,0.0001539179104477612,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.000100000761449337,0.000200001522898674,0.0,0.0,0,none,False,False,0,none,llm_direct,none,none,False,False,False
V1,keyword_whole_document,completed,0.3820752619589648,0.9966666666666667,0.9467777777777778,0.18765432098765433,0.041666666666666664,0.18765432098765433,24.317999996128492,27.786400001787115,0.005199995939619839,0.0,0,none,False,False,45,whole_document,keyword_only,none,none,False,False,False
V2,bm25_fixed_window,completed,0.508396725808129,1.0,0.9472777777777778,0.4580246913580247,0.041666666666666664,0.4580246913580247,0.8617000057711266,1.185799999802839,49.978399998508394,0.0,0,none,False,False,118,fixed_window,bm25_only,none,none,False,False,False
V2R,bm25_recursive_character_chunk,completed,0.5526094305127311,0.9833333333333333,0.9445,0.4740740740740741,0.08333333333333333,0.4740740740740741,0.8839000001898967,1.2015999964205548,47.797500003071036,0.0,0,none,False,False,122,recursive_character,bm25_only,none,none,False,False,False
V3,bm25_header_chunk,completed,0.4162773406408215,0.9733333333333334,0.9244444444444444,0.7944444444444444,0.041666666666666664,0.7944444444444444,4.970000001776498,6.452300003729761,125.17980000120588,0.0,0,none,False,False,833,markdown_headers,bm25_only,none,none,False,False,False
V3S,bm25_semantic_chunk,completed,0.3857409822700009,0.9733333333333334,0.9288888888888889,0.7969135802469136,0.041666666666666664,0.7969135802469136,4.26849999348633,5.620900003123097,168.55560000112746,0.0,0,none,False,False,706,semantic,bm25_only,none,none,False,False,False
V4-bge-base,vector_bge_base_zh_faiss,completed,0.38788938404438855,0.8833333333333333,0.8192222222222222,0.41728395061728396,0.0,0.41728395061728396,32.850499999767635,38.44169999501901,34522.63839999796,190.50939999578986,768,local_cache,False,False,833,markdown_headers,vector_only,BAAI/bge-base-zh-v1.5,faiss,False,False,False
V4-bge-small,vector_bge_small_zh_faiss,completed,0.3631188313588909,0.8833333333333333,0.7761666666666667,0.38641975308641974,0.0,0.38641975308641974,7.964099997479934,10.712800001783762,6099.107699999877,39.08370000135619,512,local_cache,False,False,833,markdown_headers,vector_only,BAAI/bge-small-zh-v1.5,faiss,False,False,False
V4-e5,vector_multilingual_e5_faiss,completed,0.3621289401275436,0.8466666666666667,0.7364444444444445,0.40617283950617283,0.0,0.40617283950617283,19.114900002023205,22.545200001331978,9467.445300004329,935.8630000060657,384,local_cache,False,False,833,markdown_headers,vector_only,intfloat/multilingual-e5-small,faiss,False,False,False
V4-recursive,vector_bge_small_recursive_faiss,completed,0.49996777033045575,0.9433333333333334,0.8634444444444445,0.3432098765432099,0.0,0.3432098765432099,9.623900004953612,11.2580999993952,5045.821700005035,40.04119999444811,512,local_cache,False,False,122,recursive_character,vector_only,BAAI/bge-small-zh-v1.5,faiss,False,False,False
V4-semantic,vector_bge_small_semantic_faiss,completed,0.342757046994982,0.87,0.7622222222222222,0.37592592592592594,0.0,0.37592592592592594,9.666199999628589,10.964599998260383,6352.332000002207,76.27830000274116,512,local_cache,False,False,706,semantic,vector_only,BAAI/bge-small-zh-v1.5,faiss,False,False,False
V4,vector_local_hashing_numpy,completed,0.2205896941640224,0.7833333333333333,0.6885,0.33209876543209876,0.0,0.33209876543209876,0.14560000272467732,0.24480000138282776,123.40610000683228,0.0,512,local-hashing,True,False,833,markdown_headers,vector_only,local-hashing,numpy,False,False,False
V5,bm25_vector_rrf_numpy,completed,0.44024535250647634,0.9033333333333333,0.9033333333333333,0.8364197530864198,0.0,0.8364197530864198,6.755800000973977,10.239600000204518,248.81299999833573,0.0,512,local-hashing,True,False,833,markdown_headers,hybrid_rrf,local-hashing,numpy,False,False,False
V6-bge-base,hybrid_bge_base_faiss_guarded,completed,0.47523594366682853,0.9033333333333333,0.9033333333333333,0.9012345679012346,1.0,0.9104938271604939,45.72879999614088,55.845299997599795,35072.183099997346,76.0558999973,768,local_cache,False,False,833,markdown_headers,hybrid_rrf,BAAI/bge-base-zh-v1.5,faiss,False,False,True
V6-bge-small,hybrid_bge_small_faiss_guarded,completed,0.47634225075538844,0.9033333333333333,0.9033333333333333,0.9012345679012346,1.0,0.9104938271604939,22.86840000306256,30.066599996644072,6309.619699997711,42.14579999825219,512,local_cache,False,False,833,markdown_headers,hybrid_rrf,BAAI/bge-small-zh-v1.5,faiss,False,False,True
